[2023-02-06 14:55:29,682][__main__][INFO] - ********* Running Evaluation *********
[2023-02-06 14:55:29,682][__main__][INFO] - 

 PPO
[2023-02-06 14:55:29,684][__main__][INFO] - Episode 0
[2023-02-06 14:55:29,782][__main__][INFO] - state: [ 383329.       3. 3000000.  384756.       3. 3000000.] action: tensor([-0.92,  2.44]) next_state: [ 382783.       3. 3000000.  385712.       3. 3000000.] reward: 16.416
[2023-02-06 14:55:29,784][__main__][INFO] - state: [ 382783.       3. 3000000.  385712.       3. 3000000.] action: tensor([-2.22,  1.58]) next_state: [ 382238.       3. 3000000.  385167.       3. 3000000.] reward: 16.416
[2023-02-06 14:55:29,786][__main__][INFO] - state: [ 382238.       3. 3000000.  385167.       3. 3000000.] action: tensor([-1.33,  1.93]) next_state: [ 381693.       3. 3000000.  384622.       3. 3000000.] reward: 16.416
[2023-02-06 14:55:29,788][__main__][INFO] - state: [ 381693.       3. 3000000.  384622.       3. 3000000.] action: tensor([0.59, 1.79]) next_state: [ 384696.       3. 3000000.  385578.       3. 3000000.] reward: 16.416
[2023-02-06 14:55:29,791][__main__][INFO] - state: [ 384696.       3. 3000000.  385578.       3. 3000000.] action: tensor([-1.28,  1.43]) next_state: [ 384151.       3. 3000000.  385033.       3. 3000000.] reward: 16.416
[2023-02-06 14:55:29,793][__main__][INFO] - state: [ 384151.       3. 3000000.  385033.       3. 3000000.] action: tensor([-1.93,  1.44]) next_state: [ 384075.       3. 3000000.  385445.       3. 3000000.] reward: 6.712
[2023-02-06 14:55:29,795][__main__][INFO] - state: [ 384075.       3. 3000000.  385445.       3. 3000000.] action: tensor([-1.44,  1.93]) next_state: [ 383530.       3. 3000000.  384900.       3. 3000000.] reward: 16.416
[2023-02-06 14:55:29,797][__main__][INFO] - state: [ 383530.       3. 3000000.  384900.       3. 3000000.] action: tensor([-1.39,  1.81]) next_state: [ 382985.       3. 3000000.  385856.       3. 3000000.] reward: 16.416
[2023-02-06 14:55:29,799][__main__][INFO] - state: [ 382985.       3. 3000000.  385856.       3. 3000000.] action: tensor([-1.49,  1.66]) next_state: [ 382439.       3. 3000000.  385311.       3. 3000000.] reward: 16.416
[2023-02-06 14:55:29,801][__main__][INFO] - state: [ 382439.       3. 3000000.  385311.       3. 3000000.] action: tensor([-0.71,  1.34]) next_state: [ 381894.       3. 3000000.  385311.       3. 3000000.] reward: 16.416
